tuple_id	id	condition	response_num	num_cum_ideas	num_cum_categories
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 1]	5003	5	44	35	23
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 2]	7360	5	45	36	24
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 4]	7667	5	46	36	24
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 3]	9836	5	47	37	25
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 3]	8775	5	48	38	25
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 1]	8783	5	49	39	25
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 2]	8786	5	50	40	25
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 0]	8791	5	51	41	25
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 4]	9639	5	52	42	25
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 2]	7213	5	53	43	26
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 4]	7214	5	54	43	26
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 1]	8169	5	55	44	26
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 0]	8230	5	56	44	26
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 3]	9455	5	57	45	26
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 4]	4928	5	58	45	26
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 0]	10018	5	59	46	26
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 1]	10025	5	60	47	27
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 2]	10026	5	61	48	27
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 3]	10027	5	62	49	28
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 0]	7737	5	63	50	28
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 2]	8160	5	64	51	28
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 4]	8481	5	65	52	28
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 1]	9809	5	66	53	29
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 3]	9810	5	67	54	29
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 1]	7405	5	68	54	29
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 0]	7697	5	69	54	29
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 2]	7747	5	70	54	29
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 3]	8994	5	71	55	30
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 4]	9862	5	72	56	31
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 1]	7191	5	73	56	31
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 0]	7723	5	74	56	31
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 4]	8382	5	75	57	31
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 2]	8550	5	76	58	32
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 3]	8551	5	77	59	32
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 3]	5046	5	78	59	32
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 4]	7614	5	79	59	32
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 0]	8145	5	80	60	32
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 1]	8832	5	81	61	33
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 2]	9839	5	82	62	34
[u'4d861f6d3260475c5ce589db1778838189b789f014055b9cdd7929fb', u'2013-09-10 21:35:01', 5, 0]	7666	5	83	62	34
[u'4d861f6d3260475c5ce589db1778838189b789f014055b9cdd7929fb', u'2013-09-10 21:35:01', 5, 4]	8641	5	84	63	35
[u'4d861f6d3260475c5ce589db1778838189b789f014055b9cdd7929fb', u'2013-09-10 21:35:01', 5, 3]	9478	5	85	64	35
[u'4d861f6d3260475c5ce589db1778838189b789f014055b9cdd7929fb', u'2013-09-10 21:35:01', 5, 1]	9808	5	86	65	35
[u'4d861f6d3260475c5ce589db1778838189b789f014055b9cdd7929fb', u'2013-09-10 21:35:01', 5, 2]	9835	5	87	66	36
[u'4e3f6e0dca58a87ee329ae5052bcc623c41a54c57fe5fefcc9a0b0a1', u'2013-09-11 01:56:05', 5, 1]	7313	5	88	66	36
[u'4e3f6e0dca58a87ee329ae5052bcc623c41a54c57fe5fefcc9a0b0a1', u'2013-09-11 01:56:05', 5, 3]	7428	5	89	67	37
[u'4e3f6e0dca58a87ee329ae5052bcc623c41a54c57fe5fefcc9a0b0a1', u'2013-09-11 01:56:05', 5, 2]	7698	5	90	67	37
[u'4e3f6e0dca58a87ee329ae5052bcc623c41a54c57fe5fefcc9a0b0a1', u'2013-09-11 01:56:05', 5, 4]	7872	5	91	67	37
[u'4e3f6e0dca58a87ee329ae5052bcc623c41a54c57fe5fefcc9a0b0a1', u'2013-09-11 01:56:05', 5, 0]	8070	5	92	68	37
[u'518ee3c543cea39e5e7a3dfc49837226018397c3e56aac43a1a2d40c', u'2013-09-10 22:36:17', 5, 1]	9021	5	93	69	37
[u'518ee3c543cea39e5e7a3dfc49837226018397c3e56aac43a1a2d40c', u'2013-09-10 22:36:17', 5, 0]	9843	5	94	70	37
[u'518ee3c543cea39e5e7a3dfc49837226018397c3e56aac43a1a2d40c', u'2013-09-10 22:36:17', 5, 2]	9844	5	95	71	37
[u'518ee3c543cea39e5e7a3dfc49837226018397c3e56aac43a1a2d40c', u'2013-09-10 22:36:17', 5, 3]	9845	5	96	72	38
[u'518ee3c543cea39e5e7a3dfc49837226018397c3e56aac43a1a2d40c', u'2013-09-10 22:36:17', 5, 4]	9846	5	97	73	38
[u'57a755afa5b1e668947d5281434b1d618d8618872457b2572f79a876', u'2013-09-10 23:50:10', 5, 4]	7404	5	98	73	38
[u'57a755afa5b1e668947d5281434b1d618d8618872457b2572f79a876', u'2013-09-10 23:50:10', 5, 1]	7491	5	99	73	38
[u'57a755afa5b1e668947d5281434b1d618d8618872457b2572f79a876', u'2013-09-10 23:50:10', 5, 0]	8559	5	100	74	38
[u'57a755afa5b1e668947d5281434b1d618d8618872457b2572f79a876', u'2013-09-10 23:50:10', 5, 2]	8976	5	101	75	39
[u'57a755afa5b1e668947d5281434b1d618d8618872457b2572f79a876', u'2013-09-10 23:50:10', 5, 3]	9848	5	102	76	40
[u'5c7b2a89aff9adcb1dc360440e8e52f6a41b59638c885e5b1a39de20', u'2013-09-10 21:13:47', 5, 2]	4841	5	103	77	40
[u'5c7b2a89aff9adcb1dc360440e8e52f6a41b59638c885e5b1a39de20', u'2013-09-10 21:13:47', 5, 1]	7212	5	104	77	40
[u'5c7b2a89aff9adcb1dc360440e8e52f6a41b59638c885e5b1a39de20', u'2013-09-10 21:13:47', 5, 0]	9819	5	105	78	41
[u'5c7b2a89aff9adcb1dc360440e8e52f6a41b59638c885e5b1a39de20', u'2013-09-10 21:13:47', 5, 3]	9821	5	106	79	41
[u'5c7b2a89aff9adcb1dc360440e8e52f6a41b59638c885e5b1a39de20', u'2013-09-10 21:13:47', 5, 4]	9822	5	107	80	41
[u'6399789e9ec09b583d41358d19799ccc603b4d76d0c22bbcceb4ded4', u'2013-09-10 21:04:17', 5, 0]	7268	5	108	81	41
[u'6399789e9ec09b583d41358d19799ccc603b4d76d0c22bbcceb4ded4', u'2013-09-10 21:04:17', 5, 3]	7310	5	109	81	41
[u'6399789e9ec09b583d41358d19799ccc603b4d76d0c22bbcceb4ded4', u'2013-09-10 21:04:17', 5, 1]	7736	5	110	81	41
[u'6399789e9ec09b583d41358d19799ccc603b4d76d0c22bbcceb4ded4', u'2013-09-10 21:04:17', 5, 4]	8220	5	111	82	41
[u'6399789e9ec09b583d41358d19799ccc603b4d76d0c22bbcceb4ded4', u'2013-09-10 21:04:17', 5, 2]	8228	5	112	82	41
[u'6adf26bef62afafd9c155540d2c95b5c14223ac048370b00b452922b', u'2013-09-12 06:51:35', 5, 1]	5013	5	113	82	41
[u'6adf26bef62afafd9c155540d2c95b5c14223ac048370b00b452922b', u'2013-09-12 06:51:35', 5, 0]	7704	5	114	82	41
[u'6adf26bef62afafd9c155540d2c95b5c14223ac048370b00b452922b', u'2013-09-12 06:51:35', 5, 4]	8074	5	115	82	41
[u'6adf26bef62afafd9c155540d2c95b5c14223ac048370b00b452922b', u'2013-09-12 06:51:35', 5, 2]	9961	5	116	83	41
[u'6adf26bef62afafd9c155540d2c95b5c14223ac048370b00b452922b', u'2013-09-12 06:51:35', 5, 3]	10009	5	117	84	42
[u'70de8b215d80eec67d476b925ce8b1e33cd6a2567515862ee132761a', u'2013-09-10 11:53:05', 5, 2]	8578	5	118	84	42
[u'70de8b215d80eec67d476b925ce8b1e33cd6a2567515862ee132761a', u'2013-09-10 11:53:05', 5, 1]	8758	5	119	85	43
[u'70de8b215d80eec67d476b925ce8b1e33cd6a2567515862ee132761a', u'2013-09-10 11:53:05', 5, 3]	9776	5	120	86	43
[u'70de8b215d80eec67d476b925ce8b1e33cd6a2567515862ee132761a', u'2013-09-10 11:53:05', 5, 0]	9782	5	121	87	44
[u'70de8b215d80eec67d476b925ce8b1e33cd6a2567515862ee132761a', u'2013-09-10 11:53:05', 5, 4]	9785	5	122	88	44
[u'7dd08e1a3c6485f02a557be3b34ce961cd21e982f42b0880b6fbfdd5', u'2013-09-10 21:29:52', 5, 0]	4797	5	123	88	44
[u'7dd08e1a3c6485f02a557be3b34ce961cd21e982f42b0880b6fbfdd5', u'2013-09-10 21:29:52', 5, 2]	5045	5	124	88	44
[u'7dd08e1a3c6485f02a557be3b34ce961cd21e982f42b0880b6fbfdd5', u'2013-09-10 21:29:52', 5, 3]	7740	5	125	88	44
[u'7dd08e1a3c6485f02a557be3b34ce961cd21e982f42b0880b6fbfdd5', u'2013-09-10 21:29:52', 5, 1]	7870	5	126	88	44
[u'7dd08e1a3c6485f02a557be3b34ce961cd21e982f42b0880b6fbfdd5', u'2013-09-10 21:29:52', 5, 4]	9834	5	127	89	45
[u'7fd4aafdc5c7e3f111294f7ce46caf9991b214330612f39972dc37a6', u'2013-09-10 23:18:47', 5, 2]	4855	5	128	90	45
[u'7fd4aafdc5c7e3f111294f7ce46caf9991b214330612f39972dc37a6', u'2013-09-10 23:18:47', 5, 1]	4911	5	129	90	45
[u'7fd4aafdc5c7e3f111294f7ce46caf9991b214330612f39972dc37a6', u'2013-09-10 23:18:47', 5, 0]	7490	5	130	90	45
[u'7fd4aafdc5c7e3f111294f7ce46caf9991b214330612f39972dc37a6', u'2013-09-10 23:18:47', 5, 3]	8097	5	131	91	46
[u'7fd4aafdc5c7e3f111294f7ce46caf9991b214330612f39972dc37a6', u'2013-09-10 23:18:47', 5, 4]	8098	5	132	91	46
[u'8030b9aaff5f2b722feb4dc34400d094fd9926092c6f2c0fdb8a540f', u'2013-09-10 21:07:39', 5, 3]	8639	5	133	91	46
[u'8030b9aaff5f2b722feb4dc34400d094fd9926092c6f2c0fdb8a540f', u'2013-09-10 21:07:39', 5, 4]	8640	5	134	91	46
[u'8030b9aaff5f2b722feb4dc34400d094fd9926092c6f2c0fdb8a540f', u'2013-09-10 21:07:39', 5, 0]	9813	5	135	92	47
[u'8030b9aaff5f2b722feb4dc34400d094fd9926092c6f2c0fdb8a540f', u'2013-09-10 21:07:39', 5, 1]	9814	5	136	92	47
[u'8030b9aaff5f2b722feb4dc34400d094fd9926092c6f2c0fdb8a540f', u'2013-09-10 21:07:39', 5, 2]	9815	5	137	92	47
[u'819bbb703d5e72858b5204d1031b2f79c49ebacd4b001a9d52f2dfca', u'2013-09-11 00:51:01', 5, 0]	4912	5	138	92	47
[u'819bbb703d5e72858b5204d1031b2f79c49ebacd4b001a9d52f2dfca', u'2013-09-11 00:51:01', 5, 3]	7788	5	139	93	47
[u'819bbb703d5e72858b5204d1031b2f79c49ebacd4b001a9d52f2dfca', u'2013-09-11 00:51:01', 5, 1]	9859	5	140	94	47
[u'819bbb703d5e72858b5204d1031b2f79c49ebacd4b001a9d52f2dfca', u'2013-09-11 00:51:01', 5, 2]	9860	5	141	95	48
[u'819bbb703d5e72858b5204d1031b2f79c49ebacd4b001a9d52f2dfca', u'2013-09-11 00:51:01', 5, 4]	9861	5	142	96	48
[u'87d371afd469723f17299dc7ede1d0b5d96da026a137b7d8b57ca93a', u'2013-09-10 21:22:23', 5, 2]	4796	5	143	96	48
[u'87d371afd469723f17299dc7ede1d0b5d96da026a137b7d8b57ca93a', u'2013-09-10 21:22:23', 5, 0]	7269	5	144	96	48
[u'87d371afd469723f17299dc7ede1d0b5d96da026a137b7d8b57ca93a', u'2013-09-10 21:22:23', 5, 3]	7612	5	145	96	48
[u'87d371afd469723f17299dc7ede1d0b5d96da026a137b7d8b57ca93a', u'2013-09-10 21:22:23', 5, 4]	8051	5	146	97	49
[u'87d371afd469723f17299dc7ede1d0b5d96da026a137b7d8b57ca93a', u'2013-09-10 21:22:23', 5, 1]	8514	5	147	98	49
[u'8a32b16ee07763ff6451ca8ae78c98584783e01716f79b4c4844386b', u'2013-09-10 21:13:05', 5, 0]	4903	5	148	98	49
[u'8a32b16ee07763ff6451ca8ae78c98584783e01716f79b4c4844386b', u'2013-09-10 21:13:05', 5, 1]	5070	5	149	99	50
[u'8a32b16ee07763ff6451ca8ae78c98584783e01716f79b4c4844386b', u'2013-09-10 21:13:05', 5, 3]	7486	5	150	99	50
[u'8a32b16ee07763ff6451ca8ae78c98584783e01716f79b4c4844386b', u'2013-09-10 21:13:05', 5, 2]	9369	5	151	100	50
[u'8a32b16ee07763ff6451ca8ae78c98584783e01716f79b4c4844386b', u'2013-09-10 21:13:05', 5, 4]	9818	5	152	101	50
[u'8d63309b14fb2b4340fc9f7fdd658dd46cd663f2f1a025417ea1a2c3', u'2013-09-11 13:28:24', 5, 1]	5048	5	153	101	50
[u'8d63309b14fb2b4340fc9f7fdd658dd46cd663f2f1a025417ea1a2c3', u'2013-09-11 13:28:24', 5, 4]	5049	5	154	101	50
[u'8d63309b14fb2b4340fc9f7fdd658dd46cd663f2f1a025417ea1a2c3', u'2013-09-11 13:28:24', 5, 0]	7406	5	155	101	50
[u'8d63309b14fb2b4340fc9f7fdd658dd46cd663f2f1a025417ea1a2c3', u'2013-09-11 13:28:24', 5, 3]	8436	5	156	102	50
[u'8d63309b14fb2b4340fc9f7fdd658dd46cd663f2f1a025417ea1a2c3', u'2013-09-11 13:28:24', 5, 2]	9863	5	157	103	50
[u'9dea803ba12cb9c1de5768c71e34f929f74cf8e297e4b8280d89b332', u'2013-09-10 21:41:42', 5, 2]	5004	5	158	103	50
[u'9dea803ba12cb9c1de5768c71e34f929f74cf8e297e4b8280d89b332', u'2013-09-10 21:41:42', 5, 1]	5095	5	159	104	51
[u'9dea803ba12cb9c1de5768c71e34f929f74cf8e297e4b8280d89b332', u'2013-09-10 21:41:42', 5, 0]	7613	5	160	104	51
[u'9dea803ba12cb9c1de5768c71e34f929f74cf8e297e4b8280d89b332', u'2013-09-10 21:41:42', 5, 3]	7741	5	161	104	51
[u'9dea803ba12cb9c1de5768c71e34f929f74cf8e297e4b8280d89b332', u'2013-09-10 21:41:42', 5, 4]	9786	5	162	104	51
[u'a320568b0625a1bcff29288cf9c91a521396b4f60f4bea3e5643c508', u'2013-09-10 21:22:48', 5, 2]	4905	5	163	104	51
[u'a320568b0625a1bcff29288cf9c91a521396b4f60f4bea3e5643c508', u'2013-09-10 21:22:48', 5, 0]	7487	5	164	104	51
[u'a320568b0625a1bcff29288cf9c91a521396b4f60f4bea3e5643c508', u'2013-09-10 21:22:48', 5, 3]	8475	5	165	105	52
[u'a320568b0625a1bcff29288cf9c91a521396b4f60f4bea3e5643c508', u'2013-09-10 21:22:48', 5, 4]	8549	5	166	105	52
[u'a320568b0625a1bcff29288cf9c91a521396b4f60f4bea3e5643c508', u'2013-09-10 21:22:48', 5, 1]	9126	5	167	106	52
[u'a47c95df22224fca5481fc3d1e4a2036c1dc2fc11ab92cb2fd5c1b39', u'2013-09-10 21:54:25', 5, 0]	4908	5	168	106	52
[u'a47c95df22224fca5481fc3d1e4a2036c1dc2fc11ab92cb2fd5c1b39', u'2013-09-10 21:54:25', 5, 2]	5005	5	169	106	52
[u'a47c95df22224fca5481fc3d1e4a2036c1dc2fc11ab92cb2fd5c1b39', u'2013-09-10 21:54:25', 5, 4]	7489	5	170	106	52
[u'a47c95df22224fca5481fc3d1e4a2036c1dc2fc11ab92cb2fd5c1b39', u'2013-09-10 21:54:25', 5, 3]	9770	5	171	107	52
[u'a47c95df22224fca5481fc3d1e4a2036c1dc2fc11ab92cb2fd5c1b39', u'2013-09-10 21:54:25', 5, 1]	9790	5	172	108	52
[u'aa453a5057427906c614d308410b9594d9f584f48831ee9a62e263c3', u'2013-09-10 22:01:29', 5, 4]	4909	5	173	108	52
[u'aa453a5057427906c614d308410b9594d9f584f48831ee9a62e263c3', u'2013-09-10 22:01:29', 5, 2]	7271	5	174	108	52
[u'aa453a5057427906c614d308410b9594d9f584f48831ee9a62e263c3', u'2013-09-10 22:01:29', 5, 3]	7344	5	175	108	52
[u'aa453a5057427906c614d308410b9594d9f584f48831ee9a62e263c3', u'2013-09-10 22:01:29', 5, 0]	8363	5	176	109	53
[u'aa453a5057427906c614d308410b9594d9f584f48831ee9a62e263c3', u'2013-09-10 22:01:29', 5, 1]	9838	5	177	110	53
[u'b9c4011621f6ffb4efa1f0ce57feb9cfad1aec94859c663347ac2b02', u'2013-09-10 21:25:25', 5, 2]	5043	5	178	110	53
[u'b9c4011621f6ffb4efa1f0ce57feb9cfad1aec94859c663347ac2b02', u'2013-09-10 21:25:25', 5, 4]	7695	5	179	110	53
[u'b9c4011621f6ffb4efa1f0ce57feb9cfad1aec94859c663347ac2b02', u'2013-09-10 21:25:25', 5, 1]	7739	5	180	110	53
[u'b9c4011621f6ffb4efa1f0ce57feb9cfad1aec94859c663347ac2b02', u'2013-09-10 21:25:25', 5, 0]	7786	5	181	110	53
[u'b9c4011621f6ffb4efa1f0ce57feb9cfad1aec94859c663347ac2b02', u'2013-09-10 21:25:25', 5, 3]	9829	5	182	111	54
[u'ba12437988f06ff62e08cb95b894ada5adac9d7f915dda85d16a59e6', u'2013-09-11 23:40:52', 5, 1]	5012	5	183	111	54
[u'ba12437988f06ff62e08cb95b894ada5adac9d7f915dda85d16a59e6', u'2013-09-11 23:40:52', 5, 0]	8190	5	184	112	54
[u'ba12437988f06ff62e08cb95b894ada5adac9d7f915dda85d16a59e6', u'2013-09-11 23:40:52', 5, 3]	8776	5	185	112	54
[u'ba12437988f06ff62e08cb95b894ada5adac9d7f915dda85d16a59e6', u'2013-09-11 23:40:52', 5, 2]	9985	5	186	113	54
[u'ba12437988f06ff62e08cb95b894ada5adac9d7f915dda85d16a59e6', u'2013-09-11 23:40:52', 5, 4]	9986	5	187	114	55
[u'beb4cf7756c651f824342f81b593a30d8bbdba236c79463bf3611991', u'2013-09-11 00:35:07', 5, 2]	7273	5	188	114	55
