response_id	id	condition	response_num	num_cum_ideas	num_cum_categories	run_id	num_responses_requested	user_id
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 0]	4487	5	10	10	9	[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5]	5	0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 2]	4618	5	11	11	10	[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5]	5	0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 3]	6907	5	12	11	10	[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5]	5	0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 4]	6936	5	13	12	11	[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5]	5	0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 1]	7266	5	14	12	11	[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5]	5	0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 3]	7767	5	15	13	12	[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5]	5	1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 2]	8045	5	16	14	13	[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5]	5	1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 0]	8720	5	17	15	14	[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5]	5	1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 4]	8721	5	18	15	14	[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5]	5	1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 1]	8724	5	19	16	14	[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5]	5	1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 2]	6713	5	20	16	14	[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5]	5	1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 3]	7338	5	21	17	15	[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5]	5	1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 0]	7612	5	22	18	15	[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5]	5	1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 1]	7927	5	23	19	15	[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5]	5	1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 4]	7935	5	24	20	16	[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5]	5	1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 3]	4674	5	25	21	16	[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5]	5	18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 2]	7081	5	26	22	16	[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5]	5	18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 4]	8734	5	27	23	16	[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5]	5	18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 0]	9242	5	28	24	16	[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5]	5	18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 1]	9243	5	29	25	17	[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5]	5	18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 1]	4395	5	30	26	18	[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5]	5	1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 2]	7032	5	31	27	19	[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5]	5	1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 4]	7080	5	32	27	19	[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5]	5	1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 0]	8233	5	33	28	20	[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5]	5	1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 3]	9022	5	34	29	20	[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5]	5	1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 0]	4594	5	35	29	20	[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5]	5	24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 1]	7902	5	36	30	20	[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5]	5	24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 2]	7909	5	37	31	20	[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5]	5	24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 4]	4616	5	38	31	20	[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5]	5	2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 1]	7314	5	39	32	21	[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5]	5	2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 0]	8232	5	40	32	21	[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5]	5	2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 3]	8767	5	41	33	22	[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5]	5	2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 2]	9100	5	42	34	23	[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5]	5	2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 0]	4488	5	43	34	23	[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5]	5	2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 1]	4580	5	44	35	23	[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5]	5	2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 2]	6785	5	45	36	24	[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5]	5	2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 4]	7079	5	46	36	24	[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5]	5	2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 3]	9128	5	47	37	25	[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5]	5	2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 3]	8123	5	48	38	25	[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5]	5	334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 1]	8131	5	49	39	25	[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5]	5	334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 2]	8133	5	50	40	25	[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5]	5	334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 0]	8138	5	51	41	25	[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5]	5	334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862
[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5, 4]	8935	5	52	42	25	[u'334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862', u'2013-09-03 22:01:57', 5]	5	334d753e637cea1d42a0229082d9af3ddd97835a72be29a756e06862
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 2]	6643	5	53	43	26	[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5]	5	3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 4]	6644	5	54	43	26	[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5]	5	3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 1]	7561	5	55	44	26	[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5]	5	3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 0]	7619	5	56	44	26	[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5]	5	3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9
[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5, 3]	8788	5	57	45	26	[u'3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9', u'2013-09-11 04:52:06', 5]	5	3a5c839d18e7feb94d00e3949dacdc603f82166dbbf0ff8fc7f2afd9
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 4]	4507	5	58	45	26	[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5]	5	3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 0]	9278	5	59	46	26	[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5]	5	3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 1]	9283	5	60	47	27	[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5]	5	3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 2]	9284	5	61	48	27	[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5]	5	3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7
[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5, 3]	9285	5	62	49	28	[u'3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7', u'2013-09-12 13:06:42', 5]	5	3b7228dbe8e39645a7d52c50d230d6aa1ddcc74ad6505658a600d2e7
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 0]	7146	5	63	50	28	[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5]	5	3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 2]	7552	5	64	51	28	[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5]	5	3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 4]	7837	5	65	52	28	[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5]	5	3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 1]	9103	5	66	53	29	[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5]	5	3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e
[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5, 3]	9104	5	67	54	29	[u'3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e', u'2013-09-10 21:07:34', 5]	5	3efc9be63895a1c060486bd448f3cba8635c6334e5ced79fceec178e
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 1]	6829	5	68	54	29	[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5]	5	44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 0]	7108	5	69	54	29	[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5]	5	44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 2]	7155	5	70	54	29	[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5]	5	44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 3]	8333	5	71	55	30	[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5]	5	44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97
[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5, 4]	9150	5	72	56	31	[u'44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97', u'2013-09-11 00:53:06', 5]	5	44ef218f6afe24baa61de168f6c7179d59782c21c56c7d10846a9f97
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 1]	6621	5	73	56	31	[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5]	5	460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 0]	7132	5	74	56	31	[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5]	5	460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 4]	7760	5	75	57	31	[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5]	5	460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 2]	7906	5	76	58	32	[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5]	5	460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716
[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5, 3]	7907	5	77	59	32	[u'460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716', u'2013-07-17 18:30:25', 5]	5	460b651029a0f64e3525cae74180f23e9d30cc26d6e7444dc9ba8716
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 3]	4620	5	78	59	32	[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5]	5	4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 4]	7029	5	79	59	32	[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5]	5	4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30
[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5, 0]	7538	5	80	60	32	[u'4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30', u'2013-09-10 22:03:13', 5]	5	4d7c322f6ff561db9fe8984518d0c1d78c352f9c06a06a80fa9eff30
